folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
21565;(Con)textos;"Universitat de Barcelona";1;1;8675;España;2013-0864;2013-0864;;Antropología
28701;+Memoria(s);"Lugar de la Memoria, la Tolerancia y la Inclusión Social. Ministerio de Cultura";1;;;Perú;3028-9297;3028-9297;2523-112X;"Antropología, Ciencias sociales y humanidades, Educación, Historia, Humanidades, Derechos humanos"
76;"A cidade de Évora.";"Câmara Municipal de Évora";0;0;34;Portugal;;0871-1992;0871-1992;"Antropología, Arqueología, Etnología, Historia, Estudios locales"
132;"Abra ";"Universidad Nacional de Costa Rica";1;1;48;"Costa Rica";2215-2997;1409-3928;1409-3928;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Ciencias sociales y humanidades, Educación, Geografía, Historia, Sociología"
23351;Aceno;"Universidade Federal de Mato Grosso";1;0;9764;Brasil;2358-5587;2358-5587;;"Antropología, Ciencias sociales y humanidades, Sociología, Estudios latinoamericanos"
529;Afro-Ásia;"Universidade Federal da Bahia, Faculdade de Filosofia e Ciências Humanas";1;1;210;Brasil;1981-1411;0002-0591;0002-0591;"Antropología, Historia"
26573;"Afros & Amazônicos";"Universidade Federal de Rondônia (UNIR)";1;;;Brasil;2675-6862;2675-6862;;"Antropología, Ciencias sociales y humanidades, Etnología, Geografía, Historia"
577;"Agricultura, sociedad y desarrollo";"Colegio de Postgraduados";1;1;229;México;2594-0244;1870-5472;1870-5472;"Agronomía, Antropología, Cultura, Sociología"
644;"AIBR. Asociación de Antropólogos Iberoamericanos en Red";"Asociación de Antropólogos Iberoamericanos en Red";1;1;244;España;1578-9705;1578-9705;;"Antropología, Estudios latinoamericanos"
27917;"Aiken Revista de Ciencias Sociales y de la Salud.";"Juliana Burgos";1;1;11247;Argentina;2796-7506;"2796- 739";2796-7395;"Antropología, Ciencias sociales y humanidades, Multidisciplinarias, Sociología, Estudios sociales de la salud"
654;Akrópolis;"Universidade Paranaense";1;0;249;Brasil;1982-1093;1517-5367;1517-5367;"Antropología, Arqueología, Filosofía, Geografía, Historia, Sociología"
657;Al-Ulyã;"Arquivo Municipal de Loulé";0;;;Portugal;;;0872-2323;"Antropología, Arqueología, Bibliografías, Historia, Historia del arte"
21265;Alabrasto;"Fundação Escola de Sociologia e Política de São Paulo";1;0;8473;Brasil;2318-3179;;;"Antropología, Ciencia política y administración pública, Historia, Sociología"
21529;Alberca;"Asociación de Amigos del Museo Arqueológico de Lorca";1;0;8653;España;2255-1573;1697-2708;1697-2708;"Antropología, Arqueología, Ciencias sociales y humanidades, Etnología, Geografía, Historia, Museología, Estudios locales, Prehistoria, Heráldica, Ciencias y Técnicas historiográficas, Epigrafía, Numismática"
717;"Almanaque del Banco de Seguros del Estado";"Banco de Seguros del Estado";0;;;Uruguay;;0797-0595;0797-0595;"Agronomía, Antropología, Ciencias sociales y humanidades, Demografía, Ganadería, Turismo, Estudios locales, Economía agrícola, Trabajo social"
27245;Alquipir;"Ayuntamiento de Cehegín";1;1;11075;España;2792-4416;1698-0557;1698-0557;"Antropología, Arqueología, Historia, Estudios locales, Humanidades"
23812;Áltera;"Universidade Federal da Paraíba ";1;;;Brasil;2447-9837;2447-9837;;Antropología
734;Alteridades;"Universidad Autónoma Metropolitana, Unidad Iztapalapa, División de Ciencias Sociales y Humanidades, Departamento de Antropología";1;1;280;México;2448-850X;0188-7017;0188-7017;Antropología
27993;Alternautas;"University of Warwick Press";1;1;11225;Iberoamericanistas-Europa;2057-4924;2057-4924;;"Antropología, Ciencia política y administración pública, Filosofía, Sociología, Desarrollo económico, Planificación del desarrollo"
763;"Amazonia peruana";"Centro Amazónico de Antropología y Aplicación Práctica";1;;;Perú;2810-8663;0252-886X;0252-886X;Antropología
764;"Amazônica : Revista de Antropologia";"Universidade Federal do Pará (UFPA)";1;0;288;Brasil;2176-0675;1984-6215;;"Antropología, Arqueología"
21995;Ambivalências;"Universidade Federal de Sergipe (UFS)";1;0;8983;Brasil;2318-3888;2318-3888;;"Antropología, Ciencias sociales y humanidades"
24537;"América Crítica";"Università degli Studi di Cagliari";1;1;10245;Iberoamericanistas-Europa;2532-6724;;;"Antropología, Ciencias sociales y humanidades, Historia, Humanidades, Estudios latinoamericanos"
795;"América indígena";"Organización de los Estados Americanos, Instituto Indigenista Interamericano";1;;;México;;0185-1179;0185-1179;"Antropología, Sociología"
21779;Americanía;"Universidad Pablo de Olavide";1;0;8825;España;2174-0178;2174-0178;;"Antropología, Ciencias sociales y humanidades, Historia, Estudios latinoamericanos"
931;"Anales de antropología";"Universidad Nacional Autónoma de México, Instituto de Investigaciones Antropológicas";1;1;358;México;2448-6221;0185-1225;0185-1225;Antropología
23609;"Anales de arqueología y etnología";"Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Arqueología y Etnología";1;1;9917;Argentina;2591-3093;0325-0288;;"Antropología, Arqueología"
19052;"Anales de la Academia de Geografía e Historia de Guatemala";"Academia de Geografía e Historia de Guatemala";0;;;Guatemala;;;0252-337X;"Antropología, Geografía, Historia"
805;"Anales de la Fundación Joaquín Costa";"Instituto de Estudios Altoaragoneses, Fundación Joaquín Costa";0;;;España;;;0213-1404;"Antropología, Ciencia política y administración pública, Sociología"
