Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;15670;"Journal of Peasant Studies";journal;"03066150, 17439361";"Routledge";No;No;2,248;Q1;113;98;250;8825;1512;240;5,85;90,05;44,72;6;64;United Kingdom;Western Europe;"Routledge";"1973-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)";"Arts and Humanities; Social Sciences"
2;21100837352;"Social Media and Society";journal;"20563051";"SAGE Publications Ltd";Yes;No;2,169;Q1;82;158;462;10436;3647;460;6,27;66,05;57,49;4;47;United Kingdom;Western Europe;"SAGE Publications Ltd";"2015-2025";"Communication (Q1); Computer Science Applications (Q1); Cultural Studies (Q1)";"Computer Science; Social Sciences"
3;25678;"Journal of Research on Adolescence";journal;"10508392, 15327795";"Wiley-Blackwell Publishing Ltd";No;No;2,030;Q1;120;124;285;8457;1689;277;4,18;68,20;62,68;1;44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993, 1996-2025";"Behavioral Neuroscience (Q1); Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
4;14946;"Group Processes and Intergroup Relations";journal;"14617188, 13684302";"SAGE Publications Ltd";No;No;1,990;Q1;97;104;282;7507;1575;278;4,59;72,18;52,98;0;27;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
5;16047;"Race Ethnicity and Education";journal;"1470109X, 13613324";"Routledge";No;No;1,681;Q1;72;96;173;5810;771;171;4,16;60,52;71,20;2;42;United Kingdom;Western Europe;"Routledge";"1998-2025";"Cultural Studies (Q1); Demography (Q1); Education (Q1)";"Social Sciences"
6;21101109914;"Virtual Economics";journal;"26574047";"";Yes;Yes;1,618;Q1;28;15;60;1118;727;60;14,50;74,53;29,73;0;14;Poland;Eastern Europe;"";"2019-2024";"Business and International Management (Q1); Cultural Studies (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Health (social science) (Q1); Management Information Systems (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
7;21101062805;"Quantitative Science Studies";journal;"26413337";"";Yes;No;1,486;Q1;30;55;185;3111;927;168;4,05;56,56;32,10;3;17;United States;Northern America;"";"2020-2024";"Analysis (Q1); Cultural Studies (Q1); Library and Information Sciences (Q1); Numerical Analysis (Q1)";"Mathematics; Social Sciences"
8;5700161511;"Social Movement Studies";journal;"14742837";"Routledge";No;No;1,381;Q1;49;93;158;4881;725;156;3,39;52,48;48,75;0;40;United Kingdom;Western Europe;"Routledge";"2010-2025";"Cultural Studies (Q1); Sociology and Political Science (Q1)";"Social Sciences"
9;15136;"Information Society";journal;"01972243, 10876537";"Taylor and Francis Ltd.";No;No;1,245;Q1;90;26;66;1904;332;66;3,29;73,23;48,39;1;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1990, 1992-2025";"Cultural Studies (Q1); Information Systems (Q1); Management Information Systems (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
10;20720;"Ethnicity and Health";journal;"14653419, 13557858";"Routledge";No;No;1,178;Q1;72;62;265;3020;902;265;3,09;48,71;68,85;1;48;United Kingdom;Western Europe;"Routledge";"1996-2025";"Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1); Public Health, Environmental and Occupational Health (Q1)";"Arts and Humanities; Medicine; Social Sciences"
11;17409;"Poetics";journal;"0304422X";"Elsevier B.V.";No;No;1,176;Q1;82;51;172;3546;496;169;2,38;69,53;43,43;1;13;Netherlands;Western Europe;"Elsevier B.V.";"1971-2025";"Communication (Q1); Cultural Studies (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
12;15453;"Journal of Cross-Cultural Psychology";journal;"00220221, 15525422";"SAGE Publications Inc.";No;No;1,175;Q1;135;46;152;3062;506;143;2,97;66,57;56,04;0;6;United States;Northern America;"SAGE Publications Inc.";"1970-2025";"Anthropology (Q1); Cultural Studies (Q1); Social Psychology (Q1)";"Psychology; Social Sciences"
13;21100203914;"Discourse, Context and Media";journal;"22116958";"Elsevier B.V.";No;No;1,171;Q1;39;33;133;1854;518;120;3,89;56,18;62,79;0;6;Netherlands;Western Europe;"Elsevier B.V.";"2012-2025";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
14;21100435972;"Journal of Global Fashion Marketing";journal;"20932685, 23254483";"Taylor and Francis Ltd.";No;No;1,171;Q1;37;31;83;2109;465;82;5,36;68,03;68,24;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2011, 2013-2025";"Cultural Studies (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1); Marketing (Q2)";"Business, Management and Accounting; Social Sciences"
15;21101005180;"Global Media and China";journal;"20594372";"SAGE Publications Ltd";Yes;Yes;1,122;Q1;20;52;86;2782;309;81;3,58;53,50;53,01;1;17;United Kingdom;Western Europe;"SAGE Publications Ltd";"2016-2025";"Communication (Q1); Cultural Studies (Q1)";"Social Sciences"
16;25967;"Social and Cultural Geography";journal;"14701197, 14649365";"Routledge";No;No;1,120;Q1;95;110;236;6818;952;229;3,52;61,98;61,17;0;44;United Kingdom;Western Europe;"Routledge";"2000-2025";"Cultural Studies (Q1); Geography, Planning and Development (Q1)";"Social Sciences"
17;5600155256;"Television and New Media";journal;"15274764";"SAGE Publications Inc.";No;No;1,110;Q1;52;65;163;2810;611;161;2,91;43,23;59,52;0;17;United States;Northern America;"SAGE Publications Inc.";"2000-2025";"Cultural Studies (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Social Sciences"
18;5600153491;"Journal of Multilingual and Multicultural Development";journal;"01434632";"Routledge";No;No;1,088;Q1;70;497;304;28421;1254;292;4,16;57,19;57,26;7;87;United Kingdom;Western Europe;"Routledge";"1980-2025";"Cultural Studies (Q1); Education (Q1); Linguistics and Language (Q1)";"Social Sciences"
19;5700164250;"Pedagogy, Culture and Society";journal;"14681366";"Routledge";No;No;1,055;Q1;49;133;157;7548;614;156;3,31;56,75;62,17;2;60;United Kingdom;Western Europe;"Routledge";"1999-2025";"Cultural Studies (Q1); Education (Q1)";"Social Sciences"
