Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;5700169428;"Nous";journal;"14680068, 00294624";"Wiley-Blackwell";No;No;2,795;Q1;88;80;131;4505;499;131;3,18;56,31;19,01;1;1;United States;Northern America;"Wiley-Blackwell";"1989, 1996-2025";"Philosophy (Q1)";"Arts and Humanities"
2;22861;"Political Psychology";journal;"0162895X, 14679221";"Wiley-Blackwell Publishing Ltd";No;No;2,047;Q1;125;126;196;10045;1177;195;5,30;79,72;46,15;0;43;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
3;22717;"Business Ethics Quarterly";journal;"1052150X";"Cambridge University Press";No;No;2,018;Q1;99;35;75;3393;371;70;4,13;96,94;33,33;2;6;United Kingdom;Western Europe;"Cambridge University Press";"1993, 1996-2024";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Philosophy (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance"
4;25403;"Mind";journal;"00264423, 14602113";"Oxford University Press";No;No;1,978;Q1;71;33;117;1348;266;112;2,04;40,85;15,79;0;1;United Kingdom;Western Europe;"Oxford University Press";"1876-1901, 1903-1904, 1908, 1911-1913, 1921-1951, 1959-1960, 1963-1965, 1967, 1970-2025";"Philosophy (Q1)";"Arts and Humanities"
5;19977;"British Journal for the Philosophy of Science";journal;"14643537, 00070882";"University of Chicago Press";No;No;1,923;Q1;70;32;137;1821;368;137;2,17;56,91;9,09;0;2;United States;Northern America;"University of Chicago Press";"1950-2024";"History (Q1); History and Philosophy of Science (Q1); Philosophy (Q1)";"Arts and Humanities"
6;19700182304;"Philosophy and Technology";journal;"22105433, 22105441";"Springer Netherlands";No;No;1,862;Q1;56;139;289;6263;2099;223;5,40;45,06;26,67;4;10;Netherlands;Western Europe;"Springer Netherlands";"2011-2025";"History and Philosophy of Science (Q1); Philosophy (Q1)";"Arts and Humanities"
7;26107;"Philosophical Review";journal;"00318108, 15581470";"Duke University Press";No;No;1,771;Q1;70;8;27;543;78;23;3,17;67,88;25,00;0;1;United States;Northern America;"Duke University Press";"1970, 1977-1978, 1984, 1996-2024";"Philosophy (Q1)";"Arts and Humanities"
8;85519;"Ethics";journal;"1539297X, 00141704";"University of Chicago Press";No;No;1,725;Q1;93;18;70;0;221;67;2,49;0,00;33,33;0;4;United States;Northern America;"University of Chicago Press";"1973-1990, 1992-1993, 1996-2025";"Philosophy (Q1)";"Arts and Humanities"
9;25408;"Mind and Language";journal;"14680017, 02681064";"Wiley-Blackwell Publishing Ltd";No;No;1,668;Q1;83;53;167;2804;479;158;2,50;52,91;42,31;0;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2025";"Linguistics and Language (Q1); Philosophy (Q1)";"Arts and Humanities; Social Sciences"
10;26151;"Philosophy and Phenomenological Research";journal;"00318205, 19331592";"Wiley-Blackwell";No;No;1,573;Q1;62;121;268;5760;535;226;1,60;47,60;24,64;0;1;United States;Northern America;"Wiley-Blackwell";"1970, 1988, 2006, 2008-2025";"History and Philosophy of Science (Q1); Philosophy (Q1)";"Arts and Humanities"
