Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100198409;"Nature Climate Change";journal;"17586798, 1758678X";"Nature Research";No;No;8,046;Q1;296;299;861;10246;12528;478;11,98;34,27;34,53;41;164;United Kingdom;Western Europe;"Nature Research";"2011-2025";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Environmental Science; Social Sciences"
2;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";"MIT Press Journals";No;No;7,425;Q1;211;100;262;4929;1450;262;4,91;49,29;23,17;68;53;United States;Northern America;"MIT Press Journals";"1978-2024";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
3;27162;"Journal of Business and Economic Statistics";journal;"07350015, 15372707";"Taylor and Francis Ltd.";No;No;4,171;Q1;122;147;326;6126;1207;304;3,20;41,67;23,80;9;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1983-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
4;27069;"Human Relations";journal;"00187267, 1741282X";"SAGE Publications Ltd";No;No;4,148;Q1;171;94;231;8554;2131;225;8,81;91,00;52,38;7;34;United Kingdom;Western Europe;"SAGE Publications Ltd";"1947-2025";"Arts and Humanities (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Social Sciences (miscellaneous) (Q1); Strategy and Management (Q1)";"Arts and Humanities; Business, Management and Accounting; Social Sciences"
5;18091;"Sociological Methods and Research";journal;"00491241, 15528294";"SAGE Publications Inc.";No;No;4,064;Q1;100;72;184;4872;1652;180;6,30;67,67;36,57;9;13;United States;Northern America;"SAGE Publications Inc.";"1972-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
6;20143;"Business and Society";journal;"00076503, 15524205";"SAGE Publications Ltd";No;No;3,113;Q1;106;98;182;8178;1918;157;8,87;83,45;46,67;1;43;United Kingdom;Western Europe;"SAGE Publications Ltd";"1960-1978, 1980-1981, 1983-2025";"Business, Management and Accounting (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)";"Business, Management and Accounting; Social Sciences"
7;28464;"Econometric Theory";journal;"02664666, 14694360";"Cambridge University Press";No;No;2,674;Q1;83;53;138;2617;191;134;1,25;49,38;23,85;0;4;United Kingdom;Western Europe;"Cambridge University Press";"1985-2025";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)";"Economics, Econometrics and Finance; Social Sciences"
8;21100325067;"Energy Research and Social Science";journal;"22146326, 22146296";"Elsevier Ltd";No;No;2,530;Q1;129;470;1223;40281;11063;1223;8,54;85,70;47,59;31;405;United Kingdom;Western Europe;"Elsevier Ltd";"2014-2025";"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Social Sciences (miscellaneous) (Q1)";"Energy; Social Sciences"
9;21101160600;"Research Methods in Applied Linguistics";journal;"27727661";"Elsevier B.V.";No;No;2,452;Q1;14;74;76;3963;946;75;12,45;53,55;48,52;0;3;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Linguistics and Language (Q1); Social Sciences (miscellaneous) (Q1)";"Social Sciences"
10;21100899528;"Adolescent Research Review";journal;"23638354, 23638346";"Springer International Publishing AG";No;No;2,424;Q1;42;35;76;2978;609;75;8,71;85,09;63,10;0;12;Switzerland;Western Europe;"Springer International Publishing AG";"2016-2025";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Sciences (miscellaneous) (Q1)";"Medicine; Psychology; Social Sciences"
