Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;13124;"Trauma, Violence, and Abuse";journal;"15248380, 15528324";"SAGE Publications Ltd";No;No;3,093;Q1;121;325;425;24516;4522;425;10,02;75,43;73,60;23;281;United Kingdom;Western Europe;"SAGE Publications Ltd";"2000-2025";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
2;24456;"Child Development";journal;"14678624, 00093920";"Wiley-Blackwell Publishing Ltd";No;No;2,195;Q1;296;173;547;11069;2988;540;5,16;63,98;64,68;2;29;United States;Northern America;"Wiley-Blackwell Publishing Ltd";"1945-1948, 1950-2025";"Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
3;15653;"Journal of Marriage and Family";journal;"17413737, 00222445";"Wiley-Blackwell Publishing Ltd";No;No;1,609;Q1;190;86;215;6379;901;213;4,18;74,17;61,98;1;31;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-1978, 1980-1981, 1985, 1996-2025";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";"Arts and Humanities; Social Sciences"
4;24451;"Child Abuse and Neglect";journal;"01452134, 18737757";"Elsevier Ltd";No;No;1,497;Q1;184;469;1104;28759;4821;1046;3,78;61,32;65,48;7;357;United Kingdom;Western Europe;"Elsevier Ltd";"1977-2025";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
5;16925;"American Journal of Community Psychology";journal;"00910562, 15732770";"Wiley-Blackwell";No;No;1,365;Q1;136;72;226;4853;895;213;3,05;67,40;72,73;4;44;United States;Northern America;"Wiley-Blackwell";"1973-2025";"Applied Psychology (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
6;24469;"Child Maltreatment";journal;"10775595";"SAGE Publications Inc.";No;No;1,190;Q1;102;96;177;4825;744;163;3,49;50,26;71,50;5;87;United States;Northern America;"SAGE Publications Inc.";"1996-2025";"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Social Work (Q1)";"Medicine; Psychology; Social Sciences"
7;14573;"Social Policy and Administration";journal;"01445596, 14679515";"Wiley-Blackwell Publishing Ltd";No;No;1,104;Q1;79;114;228;6357;1028;228;3,01;55,76;48,51;10;85;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1967-2025";"Development (Q1); Public Administration (Q1); Social Work (Q1); Sociology and Political Science (Q1)";"Social Sciences"
8;20848;"Health and Social Care in the Community";journal;"09660410, 13652524";"John Wiley and Sons Ltd";No;No;1,045;Q1;85;132;1164;7481;3580;1163;2,97;56,67;67,57;0;68;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1993-2024";"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
9;12282;"Journal of Social Policy";journal;"14697823, 00472794";"Cambridge University Press";No;No;1,025;Q1;84;92;184;5193;605;183;3,28;56,45;52,63;0;74;United Kingdom;Western Europe;"Cambridge University Press";"1976, 1978-1984, 1986-2025";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1)";"Environmental Science; Social Sciences"
10;29237;"Clinical Social Work Journal";journal;"15733343, 00911674";"Kluwer Academic/Human Sciences Press Inc.";No;No;0,994;Q1;51;79;130;4159;511;124;2,92;52,65;62,12;1;31;United States;Northern America;"Kluwer Academic/Human Sciences Press Inc.";"1973-2025";"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Work (Q1)";"Medicine; Social Sciences"
11;28902;"Family Relations";journal;"01976664, 17413729";"Wiley-Blackwell Publishing Ltd";No;No;0,958;Q1;105;200;408;11535;1168;404;2,51;57,68;69,89;1;63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1981, 1992, 1996-2025";"Education (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q1); Developmental and Educational Psychology (Q2)";"Psychology; Social Sciences"
12;15430;"Journal of Community Psychology";journal;"15206629, 00904392";"Wiley-Liss Inc.";No;No;0,912;Q1;102;67;594;3885;1630;581;2,67;57,99;71,00;2;26;United States;Northern America;"Wiley-Liss Inc.";"1973-2025";"Social Work (Q1); Social Psychology (Q2)";"Psychology; Social Sciences"
13;24482;"Children and Youth Services Review";journal;"01907409";"Elsevier Ltd";No;No;0,862;Q1;123;625;1275;40419;3733;1257;2,14;64,67;67,97;11;363;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Education (Q1); Social Work (Q1); Sociology and Political Science (Q1); Developmental and Educational Psychology (Q2)";"Psychology; Social Sciences"
14;19600163400;"Social Work";journal;"15456846, 00378046";"Oxford University Press";No;No;0,809;Q1;85;51;135;1308;332;96;2,76;25,65;58,42;0;21;United States;Northern America;"Oxford University Press";"1956-2025";"Social Work (Q1); Sociology and Political Science (Q1); Medicine (miscellaneous) (Q2)";"Medicine; Social Sciences"
15;28149;"Affilia - Feminist Inquiry in Social Work";journal;"15523020, 08861099";"SAGE Publications Inc.";No;No;0,793;Q2;49;54;130;3045;377;118;2,06;56,39;88,89;0;39;United States;Northern America;"SAGE Publications Inc.";"1986-2025";"Gender Studies (Q1); Social Sciences (miscellaneous) (Q1); Social Work (Q2)";"Social Sciences"
16;28710;"British Journal of Social Work";journal;"00453102, 1468263X";"Oxford University Press";No;No;0,742;Q2;98;199;714;9415;1751;681;2,14;47,31;66,10;4;105;United Kingdom;Western Europe;"Oxford University Press";"1971-2024";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
17;5600153659;"European Journal of Social Work";journal;"13691457";"Taylor and Francis Ltd.";No;No;0,726;Q2;37;157;258;6908;657;240;2,56;44,00;70,37;4;94;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Social Work (Q2)";"Social Sciences"
18;24472;"Children and Society";journal;"09510605, 10990860";"Wiley-Blackwell Publishing Ltd";No;No;0,722;Q2;72;143;276;7450;699;270;2,15;52,10;73,75;4;78;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2025";"Education (Q1); Health (social science) (Q2); Life-span and Life-course Studies (Q2); Social Work (Q2)";"Social Sciences"
19;14622;"Social Work in Health Care";journal;"00981389, 1541034X";"Routledge";No;No;0,719;Q2;54;42;94;1747;235;92;2,14;41,60;70,20;0;19;United Kingdom;Western Europe;"Routledge";"1975-2025";"Community and Home Care (Q1); Psychiatry and Mental Health (Q2); Social Work (Q2)";"Medicine; Nursing; Social Sciences"
20;16907;"Research on Social Work Practice";journal;"10497315, 15527581";"SAGE Publications Inc.";No;No;0,717;Q2;79;110;237;5843;612;220;2,26;53,12;59,10;3;33;United States;Northern America;"SAGE Publications Inc.";"1991-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Psychology (miscellaneous) (Q2); Social Work (Q2)";"Psychology; Social Sciences"
21;29613;"Health and Social Work";journal;"15456854, 03607283";"National Association of Social Workers";No;No;0,678;Q2;65;37;117;945;206;100;1,51;25,54;72,45;0;17;United States;Northern America;"National Association of Social Workers";"1976-2025";"Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
22;5700166357;"Social Work Education";journal;"14701227, 02615479";"Taylor and Francis Ltd.";No;No;0,664;Q2;54;308;283;15606;824;276;2,80;50,67;66,21;4;144;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-2025";"Social Sciences (miscellaneous) (Q1); Education (Q2); Social Work (Q2)";"Social Sciences"
23;5700162931;"Journal of Social Work";journal;"14680173";"SAGE Publications Ltd";No;No;0,655;Q2;46;52;204;2528;494;203;2,07;48,62;72,43;0;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2025";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
24;100147328;"Child and Family Social Work";journal;"13652206, 13567500";"Wiley-Blackwell Publishing Ltd";No;No;0,653;Q2;78;183;263;10817;646;262;2,42;59,11;71,61;2;96;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Sociology and Political Science (Q1); Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
25;17610;"Child and Adolescent Social Work Journal";journal;"07380151, 15732797";"Springer New York";No;No;0,629;Q2;53;114;197;7078;460;190;2,12;62,09;66,75;4;65;United States;Northern America;"Springer New York";"1984-2025";"Social Sciences (miscellaneous) (Q1); Social Work (Q2)";"Social Sciences"
26;5700163050;"Qualitative Social Work";journal;"14733250";"SAGE Publications Inc.";No;No;0,618;Q2;59;92;291;3757;665;257;2,33;40,84;77,21;0;43;United States;Northern America;"SAGE Publications Inc.";"2002-2025";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2)";"Social Sciences"
27;14586;"Social Service Review";journal;"15375404, 00377961";"University of Chicago Press";No;No;0,614;Q2;70;15;59;1120;138;57;2,31;74,67;58,54;0;10;United States;Northern America;"University of Chicago Press";"1973-1983, 1987, 1996-2024";"Social Work (Q2); Sociology and Political Science (Q2)";"Social Sciences"
28;5600154403;"Australian Social Work";journal;"0312407X, 14470748";"Taylor and Francis Ltd.";No;No;0,607;Q2;44;67;142;2339;299;118;2,02;34,91;76,42;0;36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2004, 2006-2025";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2); Sociology and Political Science (Q2)";"Social Sciences"
