Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";"Johnson School at Cornell University";No;No;10,393;Q1;218;29;87;3139;928;82;7,37;108,24;37,78;0;15;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2025";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
2;15646;"Annual Review of Political Science";book series;"10942939, 15451577";"Annual Reviews Inc.";No;No;6,903;Q1;138;24;73;2758;1042;73;10,49;114,92;50,00;5;7;United States;Northern America;"Annual Reviews Inc.";"1998-2024";"Sociology and Political Science (Q1)";"Social Sciences"
3;15555;"American Journal of Political Science";journal;"00925853, 15405907";"Wiley-Blackwell Publishing Ltd";No;No;6,280;Q1;215;178;194;11455;1867;194;8,73;64,35;22,94;30;80;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
4;144974;"Journal of Service Research";journal;"10946705, 15527379";"SAGE Publications Inc.";No;No;6,011;Q1;156;71;116;5435;1873;105;11,35;76,55;41,94;0;14;United States;Northern America;"SAGE Publications Inc.";"1998-2025";"Information Systems (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
5;15557;"American Political Science Review";journal;"15375943, 00030554";"Cambridge University Press";No;No;5,532;Q1;215;203;320;14533;2777;313;7,18;71,59;35,06;0;79;United Kingdom;Western Europe;"Cambridge University Press";"1906-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
6;21149;"Leadership Quarterly";journal;"10489843";"Elsevier Inc.";No;No;5,393;Q1;202;45;139;4953;1772;130;10,97;110,07;30,47;2;12;United States;Northern America;"Elsevier Inc.";"1990-2025";"Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
7;16976;"Annual Review of Sociology";book series;"03600572, 15452115";"Annual Reviews Inc.";No;No;5,262;Q1;216;36;76;5303;1050;76;9,74;147,31;54,55;0;17;United States;Northern America;"Annual Reviews Inc.";"1975, 1977, 1980-1981, 1985-2024";"Sociology and Political Science (Q1)";"Social Sciences"
8;39139;"International Organization";journal;"15315088, 00208183";"Cambridge University Press";No;No;4,977;Q1;168;28;102;2605;1095;100;5,05;93,04;21,82;0;7;United Kingdom;Western Europe;"Cambridge University Press";"1947-2025";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
9;145558;"Political Analysis";journal;"10471987, 14764989";"Cambridge University Press";No;No;4,353;Q1;89;41;121;1497;923;121;7,25;36,51;25,96;2;5;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2004-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
10;16929;"American Sociological Review";journal;"00031224, 19398271";"American Sociological Association";No;No;4,203;Q1;240;39;118;4615;1047;113;6,25;118,33;44,59;2;25;United States;Northern America;"American Sociological Association";"1965-2025";"Sociology and Political Science (Q1)";"Social Sciences"
11;13447;"Comparative Political Studies";journal;"15523829, 00104140";"SAGE Publications Inc.";No;No;4,169;Q1;134;145;226;11915;1678;226;6,21;82,17;37,16;12;72;United States;Northern America;"SAGE Publications Inc.";"1968-2025";"Sociology and Political Science (Q1)";"Social Sciences"
12;18091;"Sociological Methods and Research";journal;"00491241, 15528294";"SAGE Publications Inc.";No;No;4,064;Q1;100;72;184;4872;1652;180;6,30;67,67;36,57;9;13;United States;Northern America;"SAGE Publications Inc.";"1972-2025";"Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
13;30039;"Journal of Personality and Social Psychology";journal;"00223514";"American Psychological Association";No;No;3,865;Q1;447;137;392;13297;3120;390;7,46;97,06;51,27;2;18;United States;Northern America;"American Psychological Association";"1965-2025";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
14;30020;"Journal of Organizational Behavior";journal;"10991379, 08943796";"John Wiley and Sons Ltd";No;No;3,862;Q1;230;89;229;9166;2128;220;8,35;102,99;52,98;1;17;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1981-1982, 1984-2025";"Applied Psychology (Q1); Organizational Behavior and Human Resource Management (Q1); Psychology (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Psychology; Social Sciences"
15;25725;"World Politics";journal;"00438871, 10863338";"Johns Hopkins University Press";No;No;3,810;Q1;132;0;40;0;248;40;3,95;0,00;0,00;0;0;United States;Northern America;"Johns Hopkins University Press";"1948-2023";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
16;16232;"British Journal of Political Science";journal;"00071234, 14692112";"Cambridge University Press";No;No;3,563;Q1;121;83;304;4801;1910;293;5,64;57,84;26,47;0;31;United Kingdom;Western Europe;"Cambridge University Press";"1971-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
17;15823;"Journal of Public Administration Research and Theory";journal;"14779803, 10531858";"Oxford University Press";No;No;3,454;Q1;147;41;142;3581;1296;142;7,17;87,34;41,18;8;19;United Kingdom;Western Europe;"Oxford University Press";"1991-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
18;20333;"Journal of Politics";journal;"14682508, 00223816";"University of Chicago Press";No;No;3,428;Q1;155;120;442;6390;2105;441;4,35;53,25;30,34;9;47;United Kingdom;Western Europe;"University of Chicago Press";"1939-2024";"Sociology and Political Science (Q1)";"Social Sciences"
19;18437;"European Journal of Political Research";journal;"03044130, 14756765";"Wiley-Blackwell Publishing Ltd";No;No;3,377;Q1;127;137;179;8912;1409;176;6,41;65,05;31,85;15;65;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1973-2025";"Sociology and Political Science (Q1)";"Social Sciences"
20;15298;"Structural Equation Modeling";journal;"15328007, 10705511";"Psychology Press Ltd";No;No;3,321;Q1;132;95;217;4682;1210;217;3,46;49,28;33,33;0;1;United Kingdom;Western Europe;"Psychology Press Ltd";"1994-2025";"Decision Sciences (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1); Modeling and Simulation (Q1); Sociology and Political Science (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
21;22832;"Political Behavior";journal;"01909320, 15736687";"Springer New York";No;No;3,021;Q1;95;152;241;9268;1404;241;5,91;60,97;34,63;13;62;United States;Northern America;"Springer New York";"1979-2025";"Sociology and Political Science (Q1)";"Social Sciences"
22;17167;"Public Administration Review";journal;"00333352, 15406210";"Wiley-Blackwell";No;No;2,964;Q1;186;127;349;8367;2543;286;6,24;65,88;37,40;21;34;United Kingdom;Western Europe;"Wiley-Blackwell";"1978-1983, 1985, 1988, 1996-2025";"Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
23;19250;"Work and Occupations";journal;"07308884, 15528464";"SAGE Publications Inc.";No;No;2,918;Q1;84;27;56;1970;345;55;5,36;72,96;50,00;0;19;United States;Northern America;"SAGE Publications Inc.";"1974-2025";"Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
24;14735;"Government Information Quarterly";journal;"0740624X";"Elsevier Ltd";No;No;2,861;Q1;144;64;236;5726;3178;232;13,23;89,47;33,15;4;49;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2025";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
25;16926;"American Journal of Sociology";journal;"00029602, 15375390";"University of Chicago";No;No;2,811;Q1;214;30;122;3728;549;105;3,38;124,27;40,74;2;12;United States;Northern America;"University of Chicago";"1946-1950, 1964-2024";"Sociology and Political Science (Q1)";"Social Sciences"
